Noun,Verb,Adjective,Exclamation
총장,싶은,젊은,
뒤,해서,아닌,
대로,하는지,많아서,
국민,지나가던,안좋네,
아주,웃는,없었다고,
개,하네,없다고,
너,죽어라,아니라,
최,했어도,비열한,
실,들어가고,안되니까,
딸,빼먹지도,특별히,
정유,않고,아니다,
입학,밤새워,두꺼운,
재적,쓰고,엄정하게,
상태,해서,없고,
정유,받은,없다,
학점,거든,없었다,
복구,모르나,옳다,
출석,쉽게,이러한,
인정,받는데,있다,
학칙,보니,좋을듯,
교수,맞는거,두꺼운,
압력,안겨,확실히,
말,물러나라,어떤,
레포트,와,같은,
학점,닫아라,특별한,
도움,않나,뻔하네,
언니,먹어서도,아니라,
해,늙으면,던거,
생,나오기,같은데,
아안,봐도,잘났다고,
언제,나오는데,같으면,
손바닥,나오겠냐,창피해서,
하늘,끝났다고,없는,
최,본다,똑똑하고,
실의,따구로,확실히,
돌대가리,써놓고두,없었다,
딸년,준거,확실히,
과목,보면,없었다는,
학점,가,확실한가용,
최,하고,확실히,
실,자빠졌네,없다,
박근혜,하고,그러셨어요,
친구,달았나,있었어요,
학교,보네,없겠죠,
담당,가려라,아니니,
교수,보이는데,같으면,
아,참,부끄럽지,
학점,되네요,아니,
대폭,만나서,뚜렷한데도,
상승,힘내세요,아니라고,
기적,할까,있나,
의혹,했다는,같다,
그냥,하면,짜증나네,
이,웃기겠다,많은이,
쌍,하는,부끄럽지도,
년,힘내시고,아니,
학교,싸워주세요,많은,
농락,잡대,있는,
거,아냐,새로,
지금,걸렸네,아니라고,
내용,주고,있냐고,
개,보냐,있는,
완전,받아,있어야,
작자,쳐,쉬운,
대통령,먹었냐,힘들게,
최,나가면,재수없는,
실,하는,이런,
돌대가리,나가겠지,없다,
딸,가리,미친,
금,된,아니겠노,
매달,알았다,특별한,
문체부,합니다,입니다,
담당자,마세요,아니겠습니까,
전부,믿습니다,불쌍해졌네,
해고,하는구나,아니,
왜,해도,없다니,
얘기,까도,환장하것다,
안해,까도,어떻게,
넌,나오더니,부끄러운줄도,
감옥,와,친절하냐,
임기,집답다,뻔하기가,
대의,집가서,없을,
놈,쳐,평범한,
박근혜,주무시지,싫은,
박정희,들어가,있네요,
군사독재,해줘라,있는지,
영부인,알아서,야할듯,
시절,한다,있다면,
최태민,들입으로,확실히,
사이비,된것도,있었다,
교주,치는것,없었다,
홀려,들이,추한,
관계,시켜,높은것,
및,해서,같다,
노예,켜준거,없는게,
상태,했는데,아니고,
그,하는,없네,
최태민,보는,아니다,
딸년,하는군,원망하리요,
최,돌아가는,있겠나,
실,건지,이런거,
박근혜,모르겠다,아닐까,
