신나다,0.72,0.54,기쁨
신비롭다,0.34,0.15,흥미
실망하다,-0.54,-0.15,슬픔
싫증나다,-0.3,-0.52,지루함
심술궃다,-0.68,0.23,분노
싱글벙글하다,0.74,0.48,기쁨
쌍년,-0.86,0.52,분노
쌍놈,-0.86,0.5,분노
쓸쓸하다,-0.53,-0.24,슬픔
씨부렁거리다,-0.55,0.29,분노
아뿔싸,-0.06,0.5,놀람
아야,-0.31,0.15,통증
아찔하다,-0.41,0.55,공포
아프다,-0.31,0.21,통증
아하하,0.64,0.66,기쁨
안절부절하다,-0.52,0.65,공포
애도하다,-0.56,-0.12,슬픔
애처롭다,-0.6,-0.15,슬픔
얼떨떨하다,0.02,0.51,놀람
얼씨구,0.67,0.48,기쁨
역겹다,-0.87,0.2,혐오
옘병할,-0.6,0.41,분노
외톨이,-0.64,-0.28,슬픔
울며불며,-0.73,-0.13,슬픔
울화통,-0.78,0.45,분노
웃다,0.55,0.56,기쁨
웃음거리,-0.58,0.31,분노
으쓱하다,0.63,0.73,기쁨
으앙,-0.67,-0.03,슬픔
자부하다,0.52,0.6,기쁨
자책하다,-0.78,-0.02,슬픔
자포자기하다,-0.63,-0.24,슬픔
잔인하다,-0.48,0.7,공포
잡놈,-0.74,0.39,분노
저년,-0.8,0.48,분노
절규하다,-0.63,-0.44,슬픔
절박하다,-0.66,-0.35,슬픔
제기랄,-0.8,0.37,분노
조심스럽다,-0.06,-0.03,중성
증오하다,-0.88,0.34,분노
지끈거리다,-0.35,0.26,통증
지독하다,-0.8,0.26,혐오
징그럽다,-0.77,0.18,혐오
쭈뼛거리다,-0.39,0.45,기타
찜찜하다,-0.59,0.13,혐오
찡하다,-0.59,-0.04,슬픔
착잡하다,-0.52,-0.2,슬픔
처절하다,-0.61,-0.4,슬픔
충동적,0.28,0.18,흥미
치밀어오르다,-0.74,0.41,분노
친근하다,0.58,0.34,기쁨
친숙하다,0.6,0.37,기쁨
한스럽다,-0.7,-0.08,슬픔
한탄하다,-0.63,-0.19,슬픔
후후,0.54,0.5,기쁨
휑하다,-0.45,-0.16,슬픔
휘둥그레지다,0.06,0.56,놀람
흡족하다,0.48,0.4,기쁨
흥겹다,0.6,0.5,기쁨
가혹하다,-0.53,0.56,슬픔 공포
감탄하다,0.2,0.7,놀람 기쁨
강압적,-0.61,0.53,공포 분노
같잖다,-0.75,0.09,혐오 분노
거지같다,-0.81,0.56,분노 혐오
곤란하다,-0.04,0.39,기타 놀람
끔찍하다,-0.82,0.12,공포 혐오
